Name,League,Year,Club,Matches Played,Starts,Minutes,Goals,Assists,Penalty Goals,Penalty Attempts,xGoals,non-penalty xGoals,xAssists
Manuel De Luca,2022-2023,1. Serie A,Sampdoria,2,0,44,0,0,0,0,0.0,0.0,0.0
Manuel De Luca,2023-2024,2. Serie B,Sampdoria,32,22,"1,960",10,5,2,2,11.6,10.0,2.2
Manuel De Luca,2024-2025,2. Serie B,Cremonese,14,5,518,1,0,0,0,3.4,3.4,0.3
Manuel Locatelli,2014-2015,1. Serie A,Milan,0,0,,,,,,,,
Manuel Locatelli,2015-2016,1. Serie A,Milan,2,1,94,0,0,0,0,,,
Manuel Locatelli,2016-2017,1. Serie A,Milan,25,17,"1,694",2,0,0,0,,,
Manuel Locatelli,2017-2018,1. Serie A,Milan,21,5,684,0,0,0,0,0.3,0.3,0.4
Manuel Locatelli,2018-2019,1. Serie A,Sassuolo,29,21,"1,847",2,4,0,0,2.5,2.5,3.5
Manuel Locatelli,2019-2020,1. Serie A,Sassuolo,33,31,"2,586",0,5,0,0,1.5,1.5,4.6
Manuel Locatelli,2020-2021,1. Serie A,Sassuolo,34,32,"2,883",4,2,2,2,3.7,2.1,2.8
Manuel Locatelli,2021-2022,1. Serie A,Juventus,31,23,"2,160",3,3,0,0,2.2,2.2,1.3
Manuel Locatelli,2022-2023,1. Serie A,Juventus,32,29,"2,446",0,2,0,0,1.5,1.5,1.8
Manuel Locatelli,2023-2024,1. Serie A,Juventus,36,34,"3,008",1,4,0,0,1.3,1.3,1.4
Manuel Locatelli,2024-2025,1. Serie A,Juventus,13,13,"1,043",0,0,0,0,0.2,0.2,0.4
Marcelo Brozović,2010-2011,1. 1. HNL,Dragovoljac,22,17,"1,681",1,0,0,0,,,
Marcelo Brozović,2011-2012,1. 1. HNL,Lokomotiva,27,27,"2,389",4,0,0,0,,,
Marcelo Brozović,2012-2013,1. 1. HNL,Lokomotiva,6,6,540,1,2,0,0,,,
Marcelo Brozović,2012-2013,1. 1. HNL,Dinamo Zagreb,23,18,"1,707",2,4,0,0,,,
Marcelo Brozović,2013-2014,1. 1. HNL,Dinamo Zagreb,27,23,"2,107",6,5,1,1,,,
